raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,confidence,parser_used,parser_mode,status,signal_id,target_scope_kind,target_scope_scope,target_refs,target_refs_count,linking_strategy,new_stop_level,close_scope,close_fraction,hit_target,fill_state,result_mode,cancel_scope,reported_results,reported_profit_percent,reported_leverage_hint,tp_prices,links_count,hashtags_count,validation_warning_count,diagnostics_summary
866,PARSED,,"[trader#3] 📍SIGNAL ID: #2071📍
COIN: $TAO/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 150✅
Target 2: 160✅

🔥51.7% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,TAOUSDT,,,0.82,,,,2071,signal,single,2071,1,,,,,,,,,,51.7,5,,0,0,0,
865,PARSED,,"[trader#3] 📍SIGNAL ID: #2070📍
COIN: $WLFI/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1035✅
Target 2: 0.1080✅

🔥40.0% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,WLFIUSDT,,,0.82,,,,2070,signal,single,2070,1,,,,,,,,,,40,5,,0,0,0,
839,PARSED,,"[trader#3] 📍SIGNAL ID: #2068📍
COIN: $LINK/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 8.80✅

🔥17.7% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,LINKUSDT,,,0.82,,,,2068,signal,single,2068,1,,,,,,,,,,17.7,5,,0,0,0,
833,PARSED,,"[trader#3] 📍SIGNAL ID: #2071📍
COIN: $TAO/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 150✅
Target 2: 160✅
Target 3: 175✅

🔥103.5% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,TAOUSDT,,,0.82,,,,2071,signal,single,2071,1,,,,,,,,,,103.5,5,,0,0,0,
832,PARSED,,"[trader#3] 📍SIGNAL ID: #2071📍
COIN: $TAO/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 150✅
Target 2: 160✅
Target 3: 175✅
Target 4: 190✅

🔥155.2% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,TAOUSDT,,,0.82,,,,2071,signal,single,2071,1,,,,,,,,,,155.2,5,,0,0,0,
829,PARSED,,"[trader#3] 📍SIGNAL ID: #2071📍
COIN: $TAO/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 150✅
Target 2: 160✅
Target 3: 175✅
Target 4: 190✅
Target 5: 205✅

🔥206.9% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,TAOUSDT,,,0.82,,,,2071,signal,single,2071,1,,,,,,,,,,206.9,5,,0,0,0,
828,PARSED,,"[trader#3] 📍SIGNAL ID: #2069📍
COIN: $WLD/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.3850✅
Target 2: 0.4100✅

🔥54.1% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,WLDUSDT,,,0.82,,,,2069,signal,single,2069,1,,,,,,,,,,54.1,5,,0,0,0,
798,PARSED,,"[trader#3] 📍SIGNAL ID: #2072📍
COIN: $TRX/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.284✅

🔥12.7% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,TRXUSDT,,,0.82,,,,2072,signal,single,2072,1,,,,,,,,,,12.7,5,,0,0,0,
783,PARSED,,"[trader#3] 📍SIGNAL ID: #2070📍
COIN: $WLFI/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1035✅
Target 2: 0.1080✅
Target 3: 0.1150✅

🔥75.0% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,WLFIUSDT,,,0.82,,,,2070,signal,single,2070,1,,,,,,,,,,75,5,,0,0,0,
773,PARSED,,"[trader#3] 📍SIGNAL ID: #2070📍
COIN: $WLFI/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1035✅
Target 2: 0.1080✅
Target 3: 0.1150✅
Target 3: 0.1250✅

🔥125.0% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,WLFIUSDT,,,0.82,,,,2070,signal,single,2070,1,,,,,,,,,,125,5,,0,0,0,
729,PARSED,,"[trader#3] 📍SIGNAL ID: #2074📍
COIN: $IMX/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.160✅

🔥16.2% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,IMXUSDT,,,0.82,,,,2074,signal,single,2074,1,,,,,,,,,,16.2,5,,0,0,0,
702,PARSED,,"[trader#3] 📍SIGNAL ID: #2073📍
COIN: $DASH/USDT (2-5X)
Direction: LONG
➖➖➖➖➖➖➖

STOP LOSS: 33

🚫18% Loss (2x)🚫

SL hit, but one doesn't define us. Risk managed. On to the next one!
➖➖➖➖➖➖➖",,,U_STOP_HIT,U_STOP_HIT,REPORT_LOSS,REPORT_LOSS,DASHUSDT,,,0.82,,,,2073,signal,single,2073,1,,,,,,,,,,,2,,0,0,0,
682,PARSED,,"[trader#3] 📍SIGNAL ID: #2074📍
COIN: $IMX/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.160✅
Target 2: 0.168✅

🔥42.0% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,IMXUSDT,,,0.82,,,,2074,signal,single,2074,1,,,,,,,,,,42,5,,0,0,0,
664,PARSED,,"[trader#3] 📍SIGNAL ID: #2075📍
COIN: $SKY/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.064✅

🔥16.1% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,SKYUSDT,,,0.82,,,,2075,signal,single,2075,1,,,,,,,,,,16.1,5,,0,0,0,
639,PARSED,,"[trader#3] 📍SIGNAL ID: #2075📍
COIN: $SKY/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.064✅
Target 2: 0.067✅

🔥40.3% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,SKYUSDT,,,0.82,,,,2075,signal,single,2075,1,,,,,,,,,,40.3,5,,0,0,0,
622,PARSED,,"[trader#3] 📍SIGNAL ID: #2076📍
COIN: $ENA/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1040✅

🔥20% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,ENAUSDT,,,0.82,,,,2076,signal,single,2076,1,,,,,,,,,,20,5,,0,0,0,
604,PARSED,,"[trader#3] 📍SIGNAL ID: #2068📍
COIN: $LINK/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 8.80✅
Target 2: 9.35✅

🔥50% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,LINKUSDT,,,0.82,,,,2068,signal,single,2068,1,,,,,,,,,,50,5,,0,0,0,
602,PARSED,,"[trader#3] 📍SIGNAL ID: #2074📍
COIN: $IMX/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.160✅
Target 2: 0.168✅
Target 3: 0.180✅

🔥80.7% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,IMXUSDT,,,0.82,,,,2074,signal,single,2074,1,,,,,,,,,,80.7,5,,0,0,0,
595,PARSED,,"[trader#3] 📍SIGNAL ID: #2076📍
COIN: $ENA/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1040✅
Target 2: 0.1100✅

🔥50% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,ENAUSDT,,,0.82,,,,2076,signal,single,2076,1,,,,,,,,,,50,5,,0,0,0,
586,PARSED,,"[trader#3] 📍SIGNAL ID: #2076📍
COIN: $ENA/USDT (2-5x)
Direction: LONG
➖➖➖➖➖➖➖
Target 1: 0.1040✅
Target 2: 0.1100✅
Target 3: 0.1180✅

🔥90% Profit (5x)🔥
➖➖➖➖➖➖➖",,,U_TP_HIT,U_TP_HIT,REPORT_PROFIT,REPORT_PROFIT,ENAUSDT,,,0.82,,,,2076,signal,single,2076,1,,,,,,,,,,90,5,,0,0,0,
