raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,completeness,confidence,parser_used,parser_mode,status,entry_plan_type,entry_structure,has_averaging_plan,entry_count,entries_summary,stop_loss_price,tp_prices,tp_count,signal_id,target_refs,target_refs_count,linking_strategy,notes_summary,links_count,hashtags_count,validation_warning_count,diagnostics_summary
1085,PARSED,,"[trader #D]
ANKRUSDT Short
вход по рынку 0,005723
SL : 0.006233
Tp1:0.00522
Tp2: 0.005018
Tp3: 0.004611",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.00522 | 0.005018 | 0.004611; entries=0.005723),ANKRUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.005723,0.006233,0.00522 | 0.005018 | 0.004611,3,1085,,0,,,0,0,0,
1057,PARSED,,"[trader #D]
BTCUSDT Long риск 0,5
вход по рынку 75265
SL : 72900
Tp1: 79400
Tp2: 81500
Tp3: 86000",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=79400 | 81500 | 86000; entries=75265),BTCUSDT,LONG,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:75265,72900,79400 | 81500 | 86000,3,1057,,0,,,0,0,0,
994,PARSED,,"[trader #D]
PROVEUSDT SHORT риск 0,5
вход по рынку 0.3653
SL : 0.3946
Tp1: 0.3388
Tp2: 0.327
Tp3: 0.2783",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.3388 | 0.327 | 0.2783; entries=0.3653),PROVEUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.3653,0.3946,0.3388 | 0.327 | 0.2783,3,994,,0,,,0,0,0,
958,PARSED,,"[trader #D]
VANAUSDT Short риск 0,5
вход по рынку 1.7931
SL : 1.9204
Tp1: 1.66
Tp2: 1.4933
Tp3: 1.4224",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=1.66 | 1.4933 | 1.4224; entries=1.7931),VANAUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:1.7931,1.9204,1.66 | 1.4933 | 1.4224,3,958,,0,,,0,0,0,
957,PARSED,,"[trader #D]
GPSUSDT Short риск 0,5
вход по рынку 0.013671
SL : 0.014454
Tp1: 0.012891
Tp2: 0.012061
Tp3: 0.010137",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.012891 | 0.012061 | 0.010137; entries=0.013671),GPSUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.013671,0.014454,0.012891 | 0.012061 | 0.010137,3,957,,0,,,0,0,0,
948,PARSED,,"[trader #D]
SOLUSDT LONG риск 0,5
вход по рынку 84.43
SL : 82.82
Tp1: 86.2
Tp2: 89.78
TP3: 106.6",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=86.2 | 89.78 | 106.6; entries=84.43),SOLUSDT,LONG,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:84.43,82.82,86.2 | 89.78 | 106.6,3,948,,0,,,0,0,0,
933,PARSED,,"[trader #D]
NILUSDT Short риск 0,5
вход по рынку 0.06293
SL : 0.0654
Tp1: 0.05783
TP2: 0.05623
Tp3: 0.05226",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.05783 | 0.05623 | 0.05226; entries=0.06293),NILUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.06293,0.0654,0.05783 | 0.05623 | 0.05226,3,933,,0,,,0,0,0,
923,PARSED,,"[trader #D]
STGUSDT Short риск 0,5
вход по рынку 0.21256
SL : 0.21808
TP1: 0.19023
TP2: 0.18384
TP3: 0.165",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.19023 | 0.18384 | 0.165; entries=0.21256),STGUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.21256,0.21808,0.19023 | 0.18384 | 0.165,3,923,,0,,,0,0,0,
913,PARSED,,"[trader #D]
STGUSDT Short риск 0,5
вход по рынку 0.21714
SL : 0.22575
TP1: 0.19023
TP2: 0.18384
TP3: 0.165",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.19023 | 0.18384 | 0.165; entries=0.21714),STGUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:0.21714,0.22575,0.19023 | 0.18384 | 0.165,3,913,,0,,,0,0,0,
863,PARSED,,"[trader #D]
CVXUSDT Short риск 0,5
вход по рынку 1.992
SL : 2.0364
Tp1: 1.9457
TP2: 1.8936
Tp3: 1.7608",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=1.9457 | 1.8936 | 1.7608; entries=1.992),CVXUSDT,SHORT,,,0.82,,,,SINGLE,ONE_SHOT,False,1,ENTRY:MARKET:1.992,2.0364,1.9457 | 1.8936 | 1.7608,3,863,,0,,,0,0,0,
